2022-03-07T10:04:11+00:00 server_name:alertmanager.xxx.yyy remote_port:60047 remote_addr:192.168.107.113 forwardedfor:- req:GET / HTTP/1.1 http_status:301 size:169 referer:- agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.000 host:172.16.66.139 upstream_addr:- upstream_response_time:-
2022-03-07T10:04:14+00:00 server_name:alertmanager.xxx.yyy remote_port:60071 remote_addr:192.168.107.113 forwardedfor:- req:GET / HTTP/1.1 http_status:200 size:1381 referer:- agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.005 host:172.16.66.139 upstream_addr:172.18.0.3:9093 upstream_response_time:0.005
2022-03-07T10:04:14+00:00 server_name:alertmanager.xxx.yyy remote_port:60071 remote_addr:192.168.107.113 forwardedfor:- req:GET /script.js HTTP/1.1 http_status:200 size:108434 referer:https://172.16.66.139/ agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.006 host:172.16.66.139 upstream_addr:172.18.0.3:9093 upstream_response_time:0.005
2022-03-07T10:04:14+00:00 server_name:alertmanager.xxx.yyy remote_port:60071 remote_addr:192.168.107.113 forwardedfor:- req:GET /lib/bootstrap-4.0.0-alpha.6-dist/css/bootstrap.min.css HTTP/1.1 http_status:200 size:150996 referer:https://172.16.66.139/ agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.004 host:172.16.66.139 upstream_addr:172.18.0.3:9093 upstream_response_time:0.003
2022-03-07T10:04:14+00:00 server_name:alertmanager.xxx.yyy remote_port:60071 remote_addr:192.168.107.113 forwardedfor:- req:GET /lib/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1 http_status:200 size:31000 referer:https://172.16.66.139/ agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.002 host:172.16.66.139 upstream_addr:172.18.0.3:9093 upstream_response_time:0.002
2022-03-07T10:04:14+00:00 server_name:alertmanager.xxx.yyy remote_port:60078 remote_addr:192.168.107.113 forwardedfor:- req:GET /lib/elm-datepicker/css/elm-datepicker.css HTTP/1.1 http_status:200 size:2085 referer:https://172.16.66.139/ agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.003 host:172.16.66.139 upstream_addr:172.18.0.3:9093 upstream_response_time:0.003
2022-03-07T10:04:14+00:00 server_name:alertmanager.xxx.yyy remote_port:60079 remote_addr:192.168.107.113 forwardedfor:- req:GET /api/v2/receivers HTTP/1.1 http_status:200 size:19 referer:https://172.16.66.139/ agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.002 host:172.16.66.139 upstream_addr:172.18.0.3:9093 upstream_response_time:0.002
2022-03-07T10:04:14+00:00 server_name:alertmanager.xxx.yyy remote_port:60080 remote_addr:192.168.107.113 forwardedfor:- req:GET /api/v2/alerts/groups?silenced=false&inhibited=false&active=true HTTP/1.1 http_status:200 size:3 referer:https://172.16.66.139/ agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.002 host:172.16.66.139 upstream_addr:172.18.0.3:9093 upstream_response_time:0.003
2022-03-07T10:04:14+00:00 server_name:alertmanager.xxx.yyy remote_port:60080 remote_addr:192.168.107.113 forwardedfor:- req:GET /lib/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1 http_status:200 size:77160 referer:https://172.16.66.139/lib/font-awesome-4.7.0/css/font-awesome.min.css agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.002 host:172.16.66.139 upstream_addr:172.18.0.3:9093 upstream_response_time:0.002
2022-03-07T10:04:15+00:00 server_name:alertmanager.xxx.yyy remote_port:60080 remote_addr:192.168.107.113 forwardedfor:- req:GET /favicon.ico HTTP/1.1 http_status:200 size:15086 referer:https://172.16.66.139/ agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.003 host:172.16.66.139 upstream_addr:172.18.0.3:9093 upstream_response_time:0.002
2022-03-07T10:15:50+00:00 server_name:alertmanager.xxx.yyy remote_port:55796 remote_addr:192.168.107.113 forwardedfor:- req:GET / HTTP/1.1 http_status:200 size:1381 referer:- agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.004 host:dashboard.sgtest.xyz upstream_addr:172.18.0.3:9093 upstream_response_time:0.003
2022-03-07T10:15:50+00:00 server_name:alertmanager.xxx.yyy remote_port:55796 remote_addr:192.168.107.113 forwardedfor:- req:GET /script.js HTTP/1.1 http_status:200 size:108434 referer:https://dashboard.sgtest.xyz/ agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.005 host:dashboard.sgtest.xyz upstream_addr:172.18.0.3:9093 upstream_response_time:0.005
2022-03-07T10:15:50+00:00 server_name:alertmanager.xxx.yyy remote_port:55796 remote_addr:192.168.107.113 forwardedfor:- req:GET /lib/bootstrap-4.0.0-alpha.6-dist/css/bootstrap.min.css HTTP/1.1 http_status:200 size:150996 referer:https://dashboard.sgtest.xyz/ agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.004 host:dashboard.sgtest.xyz upstream_addr:172.18.0.3:9093 upstream_response_time:0.004
2022-03-07T10:15:50+00:00 server_name:alertmanager.xxx.yyy remote_port:55796 remote_addr:192.168.107.113 forwardedfor:- req:GET /lib/elm-datepicker/css/elm-datepicker.css HTTP/1.1 http_status:200 size:2085 referer:https://dashboard.sgtest.xyz/ agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.002 host:dashboard.sgtest.xyz upstream_addr:172.18.0.3:9093 upstream_response_time:0.002
2022-03-07T10:15:50+00:00 server_name:alertmanager.xxx.yyy remote_port:55807 remote_addr:192.168.107.113 forwardedfor:- req:GET /api/v2/receivers HTTP/1.1 http_status:200 size:19 referer:https://dashboard.sgtest.xyz/ agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.002 host:dashboard.sgtest.xyz upstream_addr:172.18.0.3:9093 upstream_response_time:0.001
