2022-03-07T10:18:26+00:00 server_name:prom.sgtest.xyz remote_port:59932 remote_addr:192.168.107.113 forwardedfor:- req:GET / HTTP/1.1 http_status:301 size:169 referer:- agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.000 host:prom.sgtest.xyz upstream_addr:- upstream_response_time:-
2022-03-07T10:18:31+00:00 server_name:prom.sgtest.xyz remote_port:59958 remote_addr:192.168.107.113 forwardedfor:- req:GET / HTTP/1.1 http_status:302 size:29 referer:- agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.002 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.002
2022-03-07T10:18:31+00:00 server_name:prom.sgtest.xyz remote_port:59958 remote_addr:192.168.107.113 forwardedfor:- req:GET /graph HTTP/1.1 http_status:200 size:714 referer:- agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.030 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.030
2022-03-07T10:18:31+00:00 server_name:prom.sgtest.xyz remote_port:59958 remote_addr:192.168.107.113 forwardedfor:- req:GET /static/css/main.faad45b4.css HTTP/1.1 http_status:200 size:411722 referer:https://prom.sgtest.xyz/graph agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.007 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.007
2022-03-07T10:18:32+00:00 server_name:prom.sgtest.xyz remote_port:59958 remote_addr:192.168.107.113 forwardedfor:- req:GET /static/js/main.8ea0e5d3.js HTTP/1.1 http_status:200 size:1637009 referer:https://prom.sgtest.xyz/graph agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.034 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.035
2022-03-07T10:18:32+00:00 server_name:prom.sgtest.xyz remote_port:59958 remote_addr:192.168.107.113 forwardedfor:- req:GET /static/media/prometheus_logo_grey.3cf697e5443028ca5e5255b93c7906c5.svg HTTP/1.1 http_status:200 size:1533 referer:https://prom.sgtest.xyz/graph agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.014 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.013
2022-03-07T10:18:32+00:00 server_name:prom.sgtest.xyz remote_port:59958 remote_addr:192.168.107.113 forwardedfor:- req:GET /-/ready HTTP/1.1 http_status:200 size:21 referer:https://prom.sgtest.xyz/graph agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.001 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.001
2022-03-07T10:18:32+00:00 server_name:prom.sgtest.xyz remote_port:59964 remote_addr:192.168.107.113 forwardedfor:- req:GET /api/v1/query?query=time() HTTP/1.1 http_status:200 size:104 referer:https://prom.sgtest.xyz/graph?g0.expr=&g0.tab=1&g0.stacked=0&g0.show_exemplars=0&g0.range_input=1h agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.008 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.009
2022-03-07T10:18:32+00:00 server_name:prom.sgtest.xyz remote_port:59958 remote_addr:192.168.107.113 forwardedfor:- req:GET /api/v1/label/__name__/values HTTP/1.1 http_status:200 size:1855 referer:https://prom.sgtest.xyz/graph?g0.expr=&g0.tab=1&g0.stacked=0&g0.show_exemplars=0&g0.range_input=1h agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.012 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.011
2022-03-07T10:18:32+00:00 server_name:prom.sgtest.xyz remote_port:59958 remote_addr:192.168.107.113 forwardedfor:- req:GET /favicon.ico HTTP/1.1 http_status:200 size:15086 referer:https://prom.sgtest.xyz/graph?g0.expr=&g0.tab=1&g0.stacked=0&g0.show_exemplars=0&g0.range_input=1h agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.002 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.002
2022-03-07T10:18:36+00:00 server_name:prom.sgtest.xyz remote_port:59958 remote_addr:192.168.107.113 forwardedfor:- req:GET /api/v1/rules?type=alert HTTP/1.1 http_status:200 size:446 referer:https://prom.sgtest.xyz/alerts agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.003 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.003
